winner,total_rounds,rounds_since_last_stuck,average_rounds_between_stuck,total_stuck_events
Player 2,19.0,0.0,0.0,0.0
Player 2,28.0,19.0,19.0,1.0
Player 1,16.0,0.0,0.0,0.0
Player 2,20.0,0.0,0.0,0.0
Player 1,17.0,0.0,0.0,0.0
Player 2,17.0,0.0,0.0,0.0
Player 2,24.0,7.0,7.0,1.0
Player 1,16.0,0.0,0.0,0.0
Player 1,19.0,0.0,0.0,0.0
Player 2,41.0,1.0,11.666666666666666,3.0
Player 2,17.0,0.0,0.0,0.0
Player 1,20.0,0.0,0.0,0.0
Player 2,24.0,21.0,21.0,1.0
Player 2,36.0,31.0,31.0,1.0
Player 1,28.0,7.0,8.333333333333334,3.0
Player 1,52.0,5.0,12.333333333333334,6.0
Player 1,18.0,0.0,0.0,0.0
Player 2,18.0,0.0,0.0,0.0
Player 1,19.0,0.0,0.0,0.0
Player 2,15.0,0.0,0.0,0.0
Player 1,21.0,0.0,0.0,0.0
Player 1,28.0,21.0,21.0,1.0
Player 1,27.0,11.0,8.0,2.0
Player 1,20.0,0.0,0.0,0.0
Player 2,18.0,0.0,0.0,0.0
Player 1,20.0,0.0,0.0,0.0
Player 1,63.0,9.0,14.142857142857142,7.0
Player 2,19.0,0.0,0.0,0.0
Player 2,27.0,27.0,27.0,1.0
Player 1,30.0,17.0,17.0,1.0
Player 1,31.0,15.0,16.0,2.0
Player 1,20.0,0.0,0.0,0.0
Player 1,27.0,21.0,21.0,1.0
Player 1,15.0,0.0,0.0,0.0
Player 2,46.0,9.0,13.0,4.0
Player 2,19.0,0.0,0.0,0.0
Player 2,23.0,3.0,3.0,1.0
Player 1,17.0,0.0,0.0,0.0
Player 1,20.0,0.0,0.0,0.0
Player 1,20.0,0.0,0.0,0.0
Player 2,20.0,0.0,0.0,0.0
Player 1,18.0,0.0,0.0,0.0
Player 1,31.0,9.0,10.333333333333334,3.0
Player 1,30.0,13.0,16.0,2.0
Player 1,21.0,13.0,13.0,1.0
Player 1,17.0,0.0,0.0,0.0
Player 1,31.0,9.0,11.0,3.0
Player 2,17.0,0.0,0.0,0.0
Player 2,20.0,0.0,0.0,0.0
Player 2,21.0,0.0,0.0,0.0
Player 1,19.0,0.0,0.0,0.0
Player 1,36.0,7.0,12.333333333333334,3.0
Player 2,18.0,0.0,0.0,0.0
Player 1,23.0,5.0,5.0,1.0
Player 1,18.0,0.0,0.0,0.0
Player 2,17.0,0.0,0.0,0.0
Player 1,18.0,3.0,3.0,1.0
Player 1,42.0,17.0,16.0,4.0
Player 2,21.0,0.0,0.0,0.0
Player 2,46.0,7.0,11.5,4.0
Player 1,18.0,0.0,0.0,0.0
Player 2,18.0,0.0,0.0,0.0
Player 1,17.0,0.0,0.0,0.0
Player 1,17.0,0.0,0.0,0.0
Player 1,35.0,27.0,15.666666666666666,3.0
Player 2,20.0,0.0,0.0,0.0
Player 1,19.0,13.0,13.0,1.0
Player 1,18.0,0.0,0.0,0.0
Player 1,46.0,13.0,12.2,5.0
Player 2,19.0,13.0,13.0,1.0
Player 1,27.0,19.0,19.0,1.0
Player 1,25.0,17.0,17.0,1.0
Player 2,15.0,0.0,0.0,0.0
Player 1,13.0,0.0,0.0,0.0
Player 1,17.0,0.0,0.0,0.0
Player 1,22.0,19.0,14.0,2.0
Player 2,36.0,31.0,31.0,1.0
Player 1,85.0,11.0,15.444444444444445,9.0
Player 1,20.0,0.0,0.0,0.0
Player 2,23.0,7.0,7.0,1.0
Player 1,44.0,3.0,9.4,5.0
Player 1,20.0,0.0,0.0,0.0
Player 1,52.0,9.0,17.0,4.0
Player 1,59.0,19.0,15.0,6.0
Player 2,20.0,0.0,0.0,0.0
Player 2,45.0,21.0,15.0,3.0
Player 1,21.0,0.0,0.0,0.0
Player 2,21.0,0.0,0.0,0.0
Player 2,20.0,0.0,0.0,0.0
Player 2,17.0,0.0,0.0,0.0
Player 1,39.0,17.0,16.333333333333332,3.0
Player 2,40.0,19.0,19.0,2.0
Player 2,22.0,0.0,0.0,0.0
Player 1,25.0,25.0,25.0,1.0
Player 2,22.0,1.0,1.0,1.0
Player 1,46.0,11.0,11.5,4.0
Player 2,17.0,0.0,0.0,0.0
Player 2,16.0,0.0,0.0,0.0
Player 1,17.0,0.0,0.0,0.0
Player 1,20.0,0.0,0.0,0.0
Player 2,20.0,0.0,0.0,0.0
Player 1,20.0,0.0,0.0,0.0
Player 2,19.0,0.0,0.0,0.0
Player 2,19.0,0.0,0.0,0.0
Player 1,21.0,7.0,7.0,1.0
Player 1,21.0,0.0,0.0,0.0
Player 1,16.0,0.0,0.0,0.0
Player 1,26.0,11.0,8.0,2.0
